user_id,age,gender,income,monthly_vape_spend,willingness_to_subscribe,liked_flavors,disliked_flavors,flavor_score_sweet,flavor_score_fruity,flavor_score_tobacco,flavor_score_minty,mood_relax,mood_energy,mood_focus,lifestyle_social,lifestyle_fitness,lifestyle_travel,lifestyle_gaming,usage_freq_per_week,nicotine_strength,churn_risk,satisfaction_rating,device_brand,social_linked,trend_alignment,prev_month_reorders,days_since_last_order,health_concern,tapering_interest,preferred_pack_size,feedback_count,feedback_sentiment
28,38,Female,21217.25,26.78,0,"Mint,Dessert",Chocolate,1,2,1,1,4,5,1,0,0,0,1,1,3,0.19,5,BrandC,1,0.03,2,36,1,0,Large,3,-0.24
29,68,Male,45969.67,36.77,0,"Dessert,Fruity,Coffee",Mint,1,5,4,2,5,2,4,0,0,1,1,1,12,0.22,10,BrandA,0,0.36,2,69,5,0,Medium,0,0.44
30,24,Other,29813.76,95.21,1,"Dessert,Chocolate,Citrus,Tobacco",Chocolate,1,3,3,4,2,2,1,1,0,0,0,8,12,0.21,9,BrandD,0,0.66,2,29,5,1,Small,3,0.35
31,49,Female,42890.54,14.23,1,"Berry,Fruity",Citrus,5,4,2,2,1,1,4,0,0,1,0,2,12,0.18,10,BrandA,0,0.65,1,68,4,0,Large,1,0.23
32,39,Female,9326.59,27.68,1,"Coffee,Vanilla,Chocolate,Berry,Citrus",Mint,3,3,5,3,2,1,5,0,1,0,0,6,12,0.6,3,BrandB,0,0.31,1,59,3,0,Small,2,-0.17
33,58,Male,17272.28,53.34,1,"Citrus,Tobacco,Fruity,Dessert","Coffee,Berry",2,5,4,2,2,4,1,0,0,0,0,1,3,0.21,1,BrandB,0,0.46,3,31,1,0,Medium,0,0.75
34,57,Female,32854.76,73.55,0,"Tobacco,Vanilla,Berry,Dessert",Mint,5,5,5,4,5,2,1,1,0,1,1,9,3,0.28,2,BrandA,0,0.3,1,59,3,1,Large,3,0.9
35,26,Male,87225.83,42.75,0,"Fruity,Citrus",Tobacco,3,5,1,4,2,4,4,0,0,0,0,15,6,0.55,3,BrandD,1,0.5,1,75,1,0,Small,1,0.31
36,31,Male,45053.09,6.56,1,"Mint,Chocolate,Coffee","Dessert,Chocolate,Fruity",2,2,4,1,2,1,3,0,0,1,0,1,0,0.15,2,BrandD,1,0.48,0,53,4,0,Large,0,-0.41
37,37,Female,50085.45,27.68,0,"Citrus,Tobacco","Fruity,Citrus",5,3,2,2,1,3,2,0,0,0,0,2,6,0.57,8,BrandA,1,0.64,1,18,3,0,Large,2,-0.45
38,34,Male,75562.24,5.0,1,"Citrus,Mint,Vanilla,Coffee,Dessert","Berry,Dessert",2,2,2,4,2,5,5,1,0,0,0,2,0,0.24,9,BrandD,1,0.39,0,55,1,0,Medium,0,-0.21
39,41,Female,29497.37,17.21,1,"Fruity,Mint,Dessert,Coffee","Chocolate,Tobacco",4,4,5,2,1,1,1,0,0,0,1,2,6,0.35,9,BrandD,1,0.39,4,39,3,0,Small,1,0.83
40,52,Female,59275.7,8.66,1,"Berry,Mint,Fruity,Vanilla,Chocolate",Berry,5,5,2,5,4,5,5,0,1,0,1,7,12,0.74,3,BrandB,0,0.6,1,23,1,0,Small,0,0.44
41,51,Male,30839.71,20.05,0,"Citrus,Mint","Dessert,Chocolate,Berry",5,3,5,1,1,5,3,1,0,0,0,2,6,0.22,7,BrandC,0,0.79,0,62,2,1,Large,3,0.66
42,27,Female,17732.89,16.26,1,"Fruity,Citrus,Dessert",Fruity,4,4,5,5,1,3,4,0,0,0,0,2,6,0.18,4,BrandB,0,0.33,3,73,5,0,Medium,1,0.4
43,68,Other,39546.73,54.49,0,"Berry,Chocolate,Dessert,Coffee,Mint","Berry,Coffee,Fruity",3,5,2,4,5,4,5,0,0,0,0,1,18,0.22,8,BrandC,0,0.48,1,58,3,1,Large,0,-0.45
44,58,Male,70548.93,65.07,1,"Vanilla,Citrus,Fruity,Coffee,Tobacco",Mint,5,3,5,1,2,4,4,0,0,0,1,5,6,0.1,8,BrandD,1,0.53,3,13,2,0,Medium,1,-0.14
45,35,Female,61263.02,13.09,1,"Coffee,Mint,Chocolate,Dessert,Berry",Vanilla,5,5,2,5,5,5,2,0,1,0,1,7,0,0.58,8,BrandB,0,0.46,1,73,3,0,Large,3,0.72
46,56,Female,49646.34,39.45,1,"Tobacco,Fruity","Chocolate,Vanilla",5,5,2,1,3,2,5,0,0,0,0,3,12,0.18,1,BrandD,0,0.85,0,10,4,0,Medium,4,-0.21
47,42,Female,210070.28,41.9,1,"Chocolate,Mint,Citrus",Coffee,3,5,2,1,1,5,4,0,0,1,1,5,12,0.04,7,BrandD,0,0.68,1,30,2,0,Small,1,0.21
48,51,Male,64056.81,23.25,0,"Citrus,Dessert,Coffee,Vanilla,Chocolate","Tobacco,Mint",3,2,3,1,5,4,3,0,1,1,1,6,6,0.23,1,BrandD,0,0.69,0,77,4,0,Small,4,-0.47
49,62,Male,89950.96,24.46,1,"Dessert,Tobacco,Vanilla,Chocolate","Vanilla,Dessert,Tobacco",1,3,5,2,3,5,3,0,0,0,0,3,6,0.07,10,BrandA,1,0.46,2,4,3,0,Medium,3,-0.68
50,58,Male,191504.06,10.57,1,"Mint,Chocolate,Citrus,Fruity","Berry,Fruity,Citrus",2,3,3,2,2,5,1,0,0,0,1,8,3,0.39,5,BrandA,0,0.62,2,7,3,0,Medium,3,0.34
51,24,Male,23001.78,75.75,0,"Fruity,Dessert,Vanilla,Tobacco,Chocolate","Dessert,Tobacco",4,5,4,2,4,3,5,1,0,0,1,5,6,0.59,2,BrandD,1,0.82,0,24,3,0,Medium,2,0.91
52,34,Male,26809.33,5.0,0,"Berry,Dessert,Chocolate,Vanilla","Citrus,Berry",1,5,2,3,5,2,5,0,0,0,0,2,6,0.43,8,BrandB,1,0.56,0,2,4,1,Small,3,0.28
53,66,Female,142344.52,57.23,1,"Citrus,Dessert,Coffee,Chocolate,Vanilla","Vanilla,Coffee,Tobacco",2,4,4,4,1,4,3,0,0,1,1,2,6,0.28,5,BrandC,0,0.21,1,62,4,0,Small,1,-0.26
54,27,Female,30975.15,5.0,1,"Chocolate,Mint","Mint,Berry,Fruity",1,4,4,5,2,2,3,1,0,0,0,2,18,0.32,10,BrandD,1,0.22,2,3,3,1,Small,4,-0.57
55,46,Male,50898.47,5.0,1,"Coffee,Berry,Tobacco","Chocolate,Citrus",1,4,2,1,5,2,4,0,0,0,1,11,3,0.03,6,BrandC,0,0.25,2,42,2,1,Medium,2,-0.21
56,69,Female,94974.89,45.89,0,"Tobacco,Dessert,Mint,Fruity,Berry",Citrus,1,3,4,5,2,2,4,1,0,0,1,5,12,0.12,5,BrandA,1,0.35,2,87,5,0,Medium,1,-0.89
57,22,Male,85323.24,31.94,1,"Coffee,Tobacco,Chocolate,Dessert","Berry,Mint,Tobacco",3,2,3,5,5,3,2,0,0,0,1,2,6,0.03,8,BrandA,1,0.22,2,2,3,1,Medium,1,-0.74
58,44,Female,143302.06,30.06,0,"Citrus,Coffee,Fruity","Berry,Mint,Fruity",2,5,2,5,2,3,3,0,0,0,1,18,3,0.14,10,BrandA,0,0.15,1,86,4,1,Small,1,0.13
59,42,Female,122659.16,29.26,0,"Tobacco,Dessert,Berry,Coffee","Coffee,Tobacco,Mint",3,2,5,3,3,3,5,0,0,0,1,5,6,0.02,5,BrandA,1,0.45,1,54,2,1,Small,2,0.46
60,38,Female,94979.27,115.04,1,"Vanilla,Mint","Fruity,Tobacco,Chocolate",5,3,4,4,2,5,3,1,0,0,0,2,12,0.2,8,BrandC,0,0.24,3,16,5,0,Small,2,-0.61
61,23,Male,31449.96,69.6,1,"Dessert,Chocolate,Tobacco",Dessert,4,2,4,2,2,1,4,0,1,0,0,5,18,0.03,3,BrandD,1,0.38,2,52,4,0,Medium,2,-0.07
62,18,Male,80555.03,5.0,1,"Citrus,Mint","Mint,Chocolate",4,3,5,1,3,3,3,0,1,0,0,3,3,0.59,8,BrandA,0,0.4,1,35,5,0,Medium,1,0.79
63,20,Male,60375.67,10.64,0,"Vanilla,Citrus,Dessert","Tobacco,Coffee,Vanilla",3,2,4,5,1,2,3,0,0,1,0,5,3,0.13,2,BrandD,0,0.55,1,68,1,0,Small,3,-0.3
64,61,Female,22561.92,117.43,0,"Coffee,Fruity,Tobacco,Vanilla","Citrus,Coffee,Vanilla",1,3,5,5,5,1,2,0,0,0,0,3,12,0.3,4,BrandB,1,0.05,1,59,1,0,Medium,2,0.78
65,31,Male,117026.74,74.51,1,"Fruity,Vanilla",Vanilla,2,1,2,3,4,2,5,0,1,0,0,7,6,0.12,4,BrandB,0,0.63,0,68,3,0,Medium,3,0.13
66,35,Female,81155.33,18.76,0,"Coffee,Citrus,Fruity","Fruity,Coffee",3,5,2,2,4,2,5,1,0,0,0,2,12,0.21,10,BrandA,0,0.22,3,3,1,1,Large,4,0.79
67,29,Male,51383.5,34.76,1,"Vanilla,Tobacco,Mint","Dessert,Tobacco",2,3,2,3,1,4,1,0,0,0,1,3,0,0.29,2,BrandD,0,0.2,3,16,2,0,Large,0,0.98
68,51,Female,43474.2,33.68,0,"Dessert,Vanilla,Coffee","Tobacco,Citrus,Coffee",5,4,5,4,1,5,4,1,1,0,0,3,3,0.36,10,BrandA,1,0.56,2,42,3,0,Small,4,0.9
69,29,Female,24362.43,26.97,0,"Mint,Dessert,Berry,Tobacco",Dessert,2,1,3,4,2,3,4,1,0,0,0,14,3,0.58,2,BrandC,1,0.77,1,63,1,0,Small,4,-0.12
70,67,Male,56358.75,65.55,1,"Citrus,Chocolate","Dessert,Mint",3,4,5,4,4,1,5,0,1,0,1,2,6,0.33,9,BrandA,0,0.63,0,26,5,0,Large,4,0.25
71,35,Female,66226.88,47.22,1,"Dessert,Coffee","Vanilla,Dessert,Coffee",5,2,4,1,5,1,2,1,0,0,1,3,12,0.52,7,BrandC,1,0.53,1,55,5,0,Medium,2,0.02
72,28,Male,30366.2,5.0,1,"Chocolate,Fruity,Vanilla,Citrus","Chocolate,Tobacco",2,5,3,4,3,3,2,1,1,0,0,2,12,0.25,3,BrandB,1,0.1,1,39,2,1,Small,1,0.0
73,27,Female,100418.4,5.0,1,"Tobacco,Berry,Fruity",Chocolate,2,5,1,2,2,1,5,0,1,0,1,5,12,0.37,6,BrandA,0,0.36,0,85,3,0,Medium,1,-0.87
74,26,Male,25885.97,127.5,1,"Mint,Fruity,Berry,Citrus,Vanilla","Vanilla,Berry,Mint",5,2,2,4,2,1,2,1,0,0,0,6,6,0.33,8,BrandD,0,0.19,2,59,4,0,Medium,0,0.36
75,42,Male,13987.48,19.1,1,"Coffee,Fruity,Berry,Tobacco","Vanilla,Mint,Berry",2,4,3,2,5,4,5,0,1,0,1,7,3,0.18,2,BrandA,1,0.72,1,3,4,0,Medium,1,0.21
76,21,Female,93303.65,5.0,1,"Mint,Coffee,Vanilla,Chocolate,Berry","Vanilla,Coffee",1,4,2,1,1,2,3,1,0,0,1,4,12,0.37,7,BrandA,1,0.74,0,87,2,0,Medium,0,0.21
77,35,Male,39252.04,52.84,0,"Mint,Berry,Vanilla","Tobacco,Citrus,Mint",1,3,2,3,2,5,5,1,0,1,0,3,3,0.27,4,BrandB,1,0.3,2,30,5,0,Small,2,1.0
78,24,Male,46358.53,47.96,1,"Citrus,Dessert",Citrus,4,5,1,3,2,2,2,0,1,0,1,1,6,0.42,7,BrandC,1,0.77,0,37,3,0,Medium,2,0.86
79,22,Female,30250.51,12.62,1,"Vanilla,Mint,Fruity,Coffee",Citrus,5,1,4,3,5,5,1,1,1,0,1,3,6,0.22,5,BrandB,0,0.17,1,1,2,0,Large,3,-0.47
80,61,Female,19076.27,28.05,1,"Citrus,Berry",Mint,2,3,4,5,1,2,2,0,0,0,0,1,6,0.47,6,BrandA,0,0.44,2,35,2,1,Small,4,-0.81
81,34,Male,106183.15,13.44,1,"Tobacco,Mint,Fruity,Citrus,Vanilla","Vanilla,Citrus,Dessert",3,2,3,1,5,3,3,1,0,0,1,2,18,0.31,4,BrandA,1,0.81,2,46,3,0,Medium,0,0.68
82,37,Other,33072.48,36.3,1,"Chocolate,Vanilla,Coffee,Tobacco","Dessert,Berry,Fruity",2,2,3,5,1,5,3,0,0,0,1,3,3,0.42,4,BrandD,0,0.25,0,32,5,1,Medium,1,0.62
83,50,Female,135448.91,21.54,0,"Mint,Fruity","Chocolate,Dessert",4,3,1,5,2,4,2,1,1,0,0,1,6,0.19,3,BrandD,1,0.22,3,53,5,1,Medium,0,-0.71
84,37,Male,81158.82,23.38,1,"Chocolate,Coffee,Vanilla,Citrus",Coffee,3,2,1,1,1,2,2,0,0,1,0,4,18,0.12,2,BrandB,1,0.25,1,37,4,0,Small,0,0.94
85,65,Male,41395.33,16.31,0,"Berry,Tobacco",Mint,3,2,3,1,3,4,4,0,0,0,1,2,12,0.21,3,BrandC,0,0.33,3,25,5,0,Medium,0,0.21
86,43,Female,26062.08,26.53,1,"Mint,Dessert,Fruity,Citrus","Tobacco,Vanilla,Citrus",1,2,4,4,1,5,4,0,0,0,1,1,12,0.26,4,BrandD,0,0.37,2,39,4,1,Large,2,0.03
87,53,Female,32218.66,5.0,0,"Mint,Dessert","Mint,Citrus",4,1,1,1,5,2,3,1,0,0,1,1,6,0.06,3,BrandC,0,0.78,1,49,1,1,Medium,2,0.25
88,38,Female,24155.43,12.01,1,"Mint,Dessert,Vanilla","Fruity,Berry,Coffee",2,2,2,5,2,2,4,1,0,0,0,14,12,0.56,10,BrandC,0,0.34,1,27,5,0,Medium,2,0.66
89,38,Female,174913.4,73.6,1,"Chocolate,Vanilla",Citrus,2,4,5,5,2,4,3,1,0,0,1,4,3,0.46,9,BrandA,1,0.28,1,5,1,0,Small,1,-0.74
90,52,Other,55184.81,43.67,1,"Fruity,Berry,Chocolate,Dessert","Chocolate,Vanilla,Mint",4,4,4,2,5,4,3,0,0,0,0,5,18,0.32,8,BrandB,0,0.89,3,37,4,0,Medium,4,-0.72
91,64,Male,99698.07,52.82,0,"Mint,Coffee,Chocolate,Fruity,Citrus","Fruity,Tobacco",5,3,3,1,2,3,3,0,1,0,0,7,12,0.18,7,BrandD,0,0.65,0,84,1,0,Medium,2,-0.81
92,64,Female,23373.71,83.47,0,"Chocolate,Fruity,Dessert,Citrus","Mint,Berry",4,3,1,2,5,3,1,0,0,0,1,4,12,0.45,8,BrandC,1,0.42,0,39,2,0,Medium,0,-0.95
93,50,Female,55736.99,17.14,1,"Vanilla,Berry,Mint","Vanilla,Berry,Tobacco",1,5,4,4,5,4,2,1,0,0,1,9,0,0.19,2,BrandD,1,0.24,4,43,5,0,Small,2,-0.02
94,25,Female,101366.25,15.72,0,"Mint,Fruity",Vanilla,2,5,4,1,2,4,5,0,0,0,1,1,3,0.2,8,BrandB,1,0.28,2,68,4,0,Large,0,0.65
95,53,Female,40895.36,5.0,0,"Citrus,Vanilla","Dessert,Coffee",4,3,3,4,3,3,1,0,1,0,1,4,18,0.42,10,BrandB,0,0.29,1,74,1,0,Medium,1,-0.06
96,66,Male,92822.74,5.25,1,"Dessert,Fruity","Mint,Tobacco,Berry",1,2,1,2,2,2,3,1,0,0,1,2,6,0.22,5,BrandC,0,0.13,0,30,1,0,Small,2,0.62
97,34,Male,26082.96,15.4,1,"Chocolate,Berry,Dessert",Dessert,2,1,2,4,2,1,3,0,1,0,0,4,3,0.29,9,BrandC,0,0.41,1,30,3,0,Small,3,-0.51
98,49,Male,22063.84,48.98,1,"Vanilla,Tobacco,Dessert,Coffee,Chocolate",Vanilla,3,3,1,4,5,2,4,1,0,0,1,8,3,0.42,3,BrandC,1,0.78,0,67,1,0,Small,3,-0.08
99,49,Male,62781.68,18.86,1,"Chocolate,Fruity,Dessert",Chocolate,3,1,3,2,1,2,2,0,0,0,0,1,6,0.23,7,BrandC,1,0.1,2,10,1,0,Small,1,0.77
100,39,Male,39825.89,12.42,1,"Chocolate,Mint,Vanilla","Coffee,Chocolate",1,4,3,5,1,3,5,1,0,0,1,13,12,0.62,4,BrandD,0,0.41,2,22,1,0,Medium,1,0.11
101,68,Female,73497.83,16.66,0,"Chocolate,Vanilla,Dessert",Chocolate,2,5,5,4,5,1,1,1,0,0,0,6,12,0.06,8,BrandD,0,0.53,1,25,2,0,Large,4,0.06
102,51,Other,15260.84,13.77,1,"Tobacco,Mint,Dessert,Berry,Coffee","Coffee,Fruity",2,5,5,2,1,5,2,0,0,1,0,1,12,0.29,7,BrandB,1,0.59,0,12,2,0,Medium,1,-0.87
103,31,Female,76660.13,13.84,1,"Coffee,Mint","Fruity,Berry",1,5,3,3,4,5,2,0,0,0,1,2,6,0.26,7,BrandD,1,0.62,0,11,1,1,Small,1,0.88
104,18,Male,237699.05,6.66,1,"Coffee,Mint,Fruity,Vanilla,Dessert",Mint,2,4,3,2,1,2,4,0,1,0,0,4,6,0.46,6,BrandD,0,0.19,1,2,5,0,Medium,0,-0.65
105,44,Male,49266.65,49.95,0,"Coffee,Dessert,Chocolate,Vanilla,Mint",Mint,4,1,1,2,5,3,3,0,1,0,0,2,6,0.33,9,BrandC,1,0.45,4,20,3,0,Large,0,-0.32
106,54,Female,51034.83,26.57,1,"Mint,Fruity,Dessert,Vanilla",Dessert,2,3,5,1,3,2,4,1,0,0,0,2,12,0.38,4,BrandB,1,0.5,2,55,2,0,Large,2,-0.63
107,37,Female,55687.33,25.55,0,"Dessert,Chocolate",Dessert,3,2,4,5,2,5,1,1,1,0,0,7,6,0.26,7,BrandA,1,0.45,3,30,1,1,Medium,2,0.98
108,21,Male,16359.97,17.03,1,"Mint,Coffee","Berry,Citrus,Dessert",5,2,4,4,5,2,1,0,1,0,0,5,12,0.31,10,BrandC,1,0.25,0,47,4,0,Large,4,-0.44
109,48,Male,64567.49,5.0,1,"Vanilla,Fruity,Tobacco","Vanilla,Berry,Dessert",3,4,3,5,4,5,4,0,0,0,1,2,6,0.27,4,BrandC,0,0.55,1,76,5,0,Small,3,-0.23
110,19,Male,19082.6,26.12,0,"Citrus,Coffee,Dessert,Vanilla","Berry,Citrus,Tobacco",3,4,4,5,5,1,1,1,1,0,1,2,18,0.1,2,BrandD,0,0.22,3,57,1,0,Large,3,-0.13
111,64,Male,38683.58,59.57,0,"Fruity,Chocolate,Mint,Berry,Vanilla","Fruity,Chocolate,Citrus",4,2,2,4,5,4,3,0,1,0,1,7,18,0.33,5,BrandD,1,0.45,0,74,1,0,Large,4,-0.2
112,52,Male,105398.11,63.61,1,"Dessert,Tobacco",Mint,1,2,3,3,3,2,1,1,0,0,0,4,12,0.14,5,BrandA,1,0.32,2,42,2,0,Small,3,0.07
113,59,Female,32165.45,32.31,1,"Coffee,Fruity,Berry,Mint,Citrus","Vanilla,Tobacco,Citrus",3,5,5,2,2,3,5,0,0,0,0,9,18,0.37,5,BrandA,0,0.04,1,87,4,1,Medium,1,-0.24
114,67,Female,67543.54,16.53,0,"Citrus,Dessert,Fruity,Vanilla","Berry,Citrus",2,3,1,4,1,4,4,0,0,0,1,1,6,0.11,10,BrandA,0,0.17,1,32,2,0,Medium,5,0.21
115,39,Male,91804.97,15.66,1,"Berry,Fruity,Dessert,Mint","Citrus,Tobacco",4,2,2,3,1,4,5,0,0,0,0,4,6,0.34,9,BrandA,0,0.15,1,78,2,0,Medium,1,-0.77
116,29,Male,59102.16,27.55,0,"Dessert,Berry",Mint,5,5,1,2,4,3,4,0,0,0,1,4,12,0.34,4,BrandC,0,0.7,1,6,1,0,Small,7,0.71
117,64,Female,21965.08,5.78,1,"Berry,Vanilla,Chocolate,Tobacco","Coffee,Vanilla,Dessert",3,5,3,4,4,2,5,1,0,0,1,6,3,0.37,3,BrandC,0,0.43,1,87,3,0,Medium,6,0.02
118,22,Male,40957.62,5.0,0,"Tobacco,Fruity","Chocolate,Vanilla",1,3,2,2,1,3,1,0,0,0,0,3,18,0.27,1,BrandC,0,0.61,1,63,5,0,Small,2,-0.76
119,42,Female,162011.9,37.7,1,"Coffee,Tobacco,Berry","Berry,Dessert,Fruity",5,5,2,2,5,2,1,0,0,0,0,5,6,0.35,6,BrandB,0,0.25,2,46,5,1,Small,2,-0.87
120,60,Female,14835.09,80.12,0,"Vanilla,Fruity","Dessert,Citrus",1,1,5,4,3,3,4,1,0,0,1,2,6,0.14,3,BrandC,0,0.51,1,50,4,0,Medium,5,0.18
121,37,Male,42374.7,5.0,1,"Tobacco,Coffee","Mint,Citrus",4,5,5,4,5,3,3,0,1,0,1,1,6,0.19,10,BrandA,1,0.52,2,71,2,0,Medium,2,0.59
122,58,Male,35900.75,10.33,1,"Coffee,Citrus,Fruity,Vanilla,Dessert","Dessert,Tobacco,Chocolate",5,1,4,4,2,4,5,0,0,1,1,2,6,0.04,1,BrandC,1,0.44,1,54,3,1,Small,2,0.76
123,68,Male,53756.87,39.71,1,"Vanilla,Fruity,Coffee,Dessert,Berry","Dessert,Tobacco,Mint",3,1,5,1,2,1,3,0,1,1,1,2,0,0.27,6,BrandC,0,0.22,3,44,4,0,Medium,0,-0.09
124,48,Male,78331.7,10.61,1,"Tobacco,Coffee,Berry","Dessert,Chocolate",4,4,2,1,2,5,5,0,1,0,0,4,18,0.13,7,BrandD,0,0.54,3,38,4,0,Small,2,0.45
125,47,Male,131267.55,5.0,1,"Tobacco,Vanilla",Chocolate,5,2,4,4,4,2,3,0,1,1,1,2,6,0.07,1,BrandB,1,0.32,2,56,2,0,Medium,1,-0.27
